Id;Référence;Boîtier;Quantité;Désignation;Fournisseur et réf
1;J3;USB_Micro-B_Molex_47346-0001;1;USB_B_Micro;
2;SW1;SW_Push_1P1T_NO_CK_KMR2;1;SW_MEC_5G;
3;Y2;Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering;1;Crystal;
4;Y1;Crystal_SMD_0603-2Pin_6.0x3.5mm;1;Crystal;
5;U2;SOT94P279X129-5N;1;RT9193-33GB;
6;U1;LQFP-48_7x7mm_P0.5mm;1;STM32F103C8Tx;
7;R9,R8,R7,R6,R5,R4,R3,R2,R1;R_0805_2012Metric;9;R;
8;J5;PinHeader_1x04_P2.54mm_Horizontal;1;Conn_01x04;
9;J4;PinHeader_2x03_P2.54mm_Vertical;1;Conn_02x03_Odd_Even;
10;J2,J1;PinHeader_1x20_P2.54mm_Vertical;2;Conn_01x20;
11;D2,D1;LED_0805_2012Metric;2;LED;
12;C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1;C_0805_2012Metric;15;C;
